APB;MSD 6600 IF
ITAUTEC;QW PRINTER 6000 MT2
MECAF;COMPACT FISCAL
MECAF;ECF 1E-3001
MECAF;ECF 2E 4002
MECAF;ECF 2E-3002
MECAF;MECAF COMPACT FCR
MICROMAN;MICROMAN 1E
MICROMAN;MICROMAN 2E
NCR;ECF IF 72 EPS 02
NCR;ECF-IF 72EPS-01
NCR;ECF-IF 72EPS-02
NCR;ECF-IF-02-01
NCR;ECF-IF-03-02
NCR;ECF-IF-7141
NCR;ECF-IF-72EPS-01
NCR;ECF-IF-72EPS-02
NCR;ECF-PDV 7445
NCR;ECF-PVD 7445
NCR;NCR2003
NCR;NCR2050
NCR;7167
NCR;7197
OLIVETTI;ECF-IF PR4/F
OLIVETTI;PR 4/FSW
PERTO;PERTO PRINTER II 1EF
PERTO;PERTOCHEK FP
PERTO;PERTOCHEK POS FP
PERTO;PERTOPAY 2020
PERTO;PERTOPAY 2040
PERTO;PERTOPRINTER 1EF
PROCOMP;ECF 2001
PROCOMP;ECF 2002
PROCOMP;ECF 2011
QUATTRO;EASY APF
QUATTRO;ECF-IF  EASY APF
QUATTRO;ECF-IF EASY APF
ROBOMARKET;RM 1
ROBOMARKET;RM 1E
ROBOMARKET;RM 2E
ROR;IF ROR 1E
SCHALTER;D PRINT
SCHALTER;D PRINT ECF
SCHALTER;S PRINT
SCHALTER;S PRINT ECF
SCHALTER;S PRINT-ECF
SCHALTER;SCFI 1E
SCHALTER;T PRINT
SID ;ECF SID PR45
SID ;ECF-PDV 6001
SID ;KIT ECF-PDV 6001
SID ;SID 6459
SID ;SID 6460
SID ;6001
SID ;6404
SID ;6417
SID ;6461
SIGTRON;ECF-IF DS 500
SIGTRON;ECF-PDV FS 420
SIGTRON;FS317
SIGTRON;FS367
SIGTRON;PRIN PLUS-FS 365
SIGTRON;PRINT PLUS FS 220
SIGTRON;PRINT PLUS-FS 200
SIGTRON;PRINT PLUS-FS 220
SIGTRON;PRINT PLUS-FS 225
SIGTRON;PRINT PLUS-FS 300
SIGTRON;PRINT PLUS-FS 315
SIGTRON;PRINT PLUS-FS 320
SIGTRON;PRINT PLUS-FS 325
SIGTRON;PRINT PLUS-FS 335
SIGTRON;PRINT PLUS-FS 350
SIGTRON;PRINT PLUS-FS 370
SIGTRON;PRINT PLUS-FS 375
SIGTRON;PRINT PLUS-FS 385
SIGTRON;PRINT PLUS-FS315
SIGTRON;PRINT PLUS-FS318
SIGTRON;PRINT PLUS-FS345
SIGTRON;PRINT PLUS-FS365
SIGTRON;PRINT PLUS-FS368
SIGTRON;PRINT PLUS-FS395
SONDA;SIM-67
SONDA;SIM-97
SWEDA;ECF 2570 MR
SWEDA;ECF-IF S-9000PR
SWEDA;IF ST100
SWEDA;IF ST1000
SWEDA;IF ST120
SWEDA;IF ST200
SWEDA;IF ST2000
SWEDA;IF ST2500
SWEDA;IF S-7000I
SWEDA;IF S-7000IE
SWEDA;IF S-7000II
SWEDA;IF S-9000II
SWEDA;IF S-9000IIIE
SWEDA;S-2070
SYSDATA;IF SYSPRINT
SYSDATA;SYSPRINT
TRENDS;TRENDS 1.0 E
TRENDS;TRENDS 1.0E
UNIGRAPH ;UN-FI
UNISYS;BEETLE
UNISYS;BEETLE 4/61-MF
UNISYS;BR 1002-ECF
UNISYS;BR 20 ECF-IF
UNISYS;BRB 375 ECF-IF
UNISYS;BRB375 ECF-IF
UNISYS;BR1000-FIM
UNISYS;BR1001-FIT
UNISYS;BR20 ECF-IF
UNISYS;BR-20 IF2 ECF-IF
UNISYS;BR-40 IF2 ECF-IF
UNISYS;ECF-IF URANO/1EFREST
UNISYS;KIT BEETLE 4/61-MF
URANO;ECF-IF URANO/1E LOGGER
URANO;ECF-IF URANO/1EFA
URANO;ECF-IF URANO/1EFNF
URANO;ECF-IF URANO/1EFREST
URANO;ECF-IF URANO/2E LOGGER
URANO;ECF-IF URANO/2EFCR
URANO;EFC-IF URANO/1FIREST
URANO;KIT ECF-IF URANO/1EFNF
URANO;KIT URANO ECF/2EFC
URANO;KIT URANO/2EFC
URANO;KIT UR/2EA LOGGER
URANO;KIT UR/2EFC LOGGER
URANO;URANO/1EFC
URANO;URANO/1FIREST
URANO;URANO/1FIT LOGGER
URANO;URANO/1FIT LOGGER
URANO;URANO/2EA LOGGER
URANO;URANO/2EFC
URANO;URANO/2EFC LOGGER
URANO;URANO/2EFE
URANO;URANO/3ECF LOGGER
URANO;URANO/3EF LOGGER
URANO;ZPM/ 1 FIM LOGGER
URANO;ZPM/1EF
YANCO;ECF-IF YANCO 8000
YANCO;6000 PLUS
YANCO;6000-ECF
YANCO;6000I-ECF
YANCO;6000-PLUS
YANCO;60001-ECF
YANCO;7000-8
ZANTHUS;ECF-IF PRZ4
ZANTHUS;ECF-IF QZ 1000
ZANTHUS;ECF-IF QZ1000
ZANTHUS;IZ 11-ECF
ZANTHUS;IZ 21-ECF
ZANTHUS;IZ10-ECF
ZANTHUS;IZ20-ECF
ZANTHUS;IZ41-ECF
ZANTHUS;Z 6100
ZANTHUS;1E
ZANTHUS;2E
ZANTHUS;2E-ECF
ZPM;ECF-IF ZPM/1E LOGGER
ZPM;ECF-IF ZPM/1EFA
ZPM;ECF-IF ZPM/1EFNF
ZPM;ECF-IF ZPM/1EFREST
ZPM;ECF-IF ZPM/1FIREST
ZPM;ECF-IF ZPM/2E LOGGER
ZPM;ECF-IF ZPM/2EFCR
ZPM;KIT ECF-IF ZPM/1EFNF
ZPM;KIT ZPM/2EFC
ZPM;KIT 2EA LOGGER
ZPM;KIT 2EFC LOGGER
ZPM;ZPM 1EFM
ZPM;ZPM/II FIT LOGGER
ZPM;ZPM/1ECF
ZPM;ZPM/1EFM
ZPM;ZPM/1FIM LOGGER
ZPM;ZPM/1FIT LOGGER
ZPM;ZPM/2 FMMO LOGGER
ZPM;ZPM/2 FTMA LOGGER
ZPM;ZPM/2EA LOGGER
ZPM;ZPM/2ECF
ZPM;ZPM/2EFC LOGGER
ZPM;ZPM/2EFE
ZPM;ZPM-200
ZPM;ZPM/3ECF LOGGER
ZPM;ZPM/3EF LOGGER
ZPM;ZPM/3EF LOGGER
ZPM;ZPM-300
ZPM;ZPM-400
ZPM;ZPM-500
ZPM (URANO);URANO/2 FMMO LOGGER
ZPM (URANO);URANO/2 FTMA LOGGER
ZPM (URANO);ZPM/1FIM LOGGER
